Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
5654205.0,GPT-4,392,24,416,Conversation log
5654233.0,GPT-4,41,143,184,Conversation log
5654263.0,GPT-4,224,106,330,Conversation log
5654277.0,GPT-4,416,20,436,Conversation log
5654281.0,GPT-4,52,621,673,Conversation log
5654328.0,GPT-4,373,170,543,Conversation log
5654329.0,GPT-4,904,87,991,Conversation log
5654345.0,GPT-4,362,28,390,Conversation log
5586142.0,GPT-4,420,38,458,Conversation log
5586184.0,GPT-4,25,666,691,Conversation log
5586234.0,GPT-4,33,233,266,Conversation log
5586251.0,GPT-4,519,450,969,API log
5586251.0,GPT-4,417,560,977,API log
5586278.0,GPT-4,799,125,924,Conversation log
5586311.0,GPT-4,519,476,995,API log
5586311.0,GPT-4,536,473,1009,API log
10364258.0,GPT-4,722,1,723,API log
10364259.0,GPT-4,814,1,815,API log
10364261.0,GPT-4,719,1,720,API log
10364262.0,GPT-4,768,1,769,API log
10364263.0,GPT-4,718,1,719,API log
10364264.0,GPT-4,798,1,799,API log
10364265.0,GPT-4,367,399,766,API log
10364266.0,GPT-4,737,1,738,API log
7665485.0,GPT-4,354,11,365,Conversation log
7665608.0,GPT-4,78,280,358,Conversation log
7665650.0,GPT-4,690,18,708,Conversation log
7665837.0,GPT-4,513,89,602,Conversation log
7665837.0,GPT-4,65,522,587,Conversation log
7666104.0,GPT-4,389,446,835,Conversation log
7666396.0,GPT-4,34,653,687,Conversation log
7666973.0,GPT-4,24,548,572,Conversation log
