Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
6792295.0,GPT-4,22,763,785,Conversation log
8006713.0,GPT-4,72,902,974,Conversation log
7405524.0,GPT-4,68,951,1019,Conversation log
10187825.0,GPT-4,22,747,769,Conversation log
6694603.0,GPT-4,36,850,886,Conversation log
5309761.0,GPT-4,49,856,905,Conversation log
10244126.0,GPT-4,40,863,903,Conversation log
10421664.0,GPT-4,58,889,947,Conversation log
7309195.0,GPT-4,51,747,798,Conversation log
9389371.0,GPT-4,22,906,928,Conversation log
7430114.0,GPT-4,98,757,855,Conversation log
10087416.0,GPT-4,30,747,777,Conversation log
5944903.0,GPT-4,106,780,886,Conversation log
7766211.0,GPT-4,77,912,989,Conversation log
6279789.0,GPT-4,24,772,796,Conversation log
5912235.0,GPT-4,134,810,944,Conversation log
8008276.0,GPT-4,33,945,978,Conversation log
9885248.0,GPT-4,39,948,987,Conversation log
6570955.0,GPT-4,107,910,1017,Conversation log
6728020.0,GPT-4,76,864,940,Conversation log
9625835.0,GPT-4,157,860,1017,Conversation log
6863608.0,GPT-4,37,792,829,Conversation log
9967555.0,GPT-4,176,771,947,API log
5571205.0,GPT-4,45,949,994,Conversation log
7157142.0,GPT-4,172,779,951,Conversation log
8112583.0,GPT-4,36,872,908,Conversation log
5964067.0,GPT-4,55,749,804,Conversation log
5521899.0,GPT-4,156,761,917,Conversation log
7339977.0,GPT-4,42,751,793,Conversation log
8246253.0,GPT-4,57,811,868,Conversation log
6430070.0,GPT-4,91,863,954,Conversation log
7763675.0,GPT-4,69,804,873,Conversation log
5689031.0,GPT-4,93,772,865,Conversation log
9911177.0,GPT-4,19,849,868,Conversation log
8675505.0,GPT-4,15,977,992,Conversation log
7811139.0,GPT-4,53,883,936,Conversation log
5666430.0,GPT-4,28,751,779,Conversation log
9735679.0,GPT-4,55,834,889,Conversation log
10449503.0,GPT-4,44,885,929,Conversation log
6686844.0,GPT-4,23,865,888,Conversation log
9796571.0,GPT-4,38,835,873,Conversation log
8072460.0,GPT-4,61,911,972,Conversation log
10146090.0,GPT-4,40,821,861,Conversation log
7397738.0,GPT-4,86,908,994,Conversation log
7840120.0,GPT-4,45,828,873,Conversation log
10232961.0,GPT-4,171,832,1003,Conversation log
5827427.0,GPT-4,21,770,791,Conversation log
9815580.0,GPT-4,106,853,959,Conversation log
5928300.0,GPT-4,45,938,983,Conversation log
5914744.0,GPT-4,27,748,775,Conversation log
9859270.0,GPT-4,176,802,978,API log
6459242.0,GPT-4,24,782,806,Conversation log
9759252.0,GPT-4,57,895,952,Conversation log
6819340.0,GPT-4,160,821,981,Conversation log
10234314.0,GPT-4,28,917,945,Conversation log
10364759.0,GPT-4,102,780,882,Conversation log
6818080.0,GPT-4,22,846,868,Conversation log
10442687.0,GPT-4,27,766,793,Conversation log
6108964.0,GPT-4,64,767,831,Conversation log
6425834.0,GPT-4,44,827,871,Conversation log
6002593.0,GPT-4,14,775,789,API log
7124515.0,GPT-4,81,873,954,Conversation log
8365903.0,GPT-4,48,751,799,Conversation log
6520456.0,GPT-4,19,919,938,Conversation log
7744755.0,GPT-4,59,940,999,Conversation log
9670349.0,GPT-4,45,848,893,Conversation log
5326592.0,GPT-4,55,751,806,Conversation log
10448823.0,GPT-4,41,887,928,Conversation log
6064259.0,GPT-4,99,801,900,Conversation log
6289610.0,GPT-4,32,824,856,Conversation log
7549995.0,GPT-4,41,758,799,Conversation log
5931392.0,GPT-4,55,751,806,Conversation log
6261319.0,GPT-4,44,909,953,Conversation log
7316709.0,GPT-4,191,803,994,Conversation log
5937347.0,GPT-4,62,771,833,Conversation log
9592120.0,GPT-4,42,794,836,Conversation log
10193881.0,GPT-4,89,770,859,Conversation log
5322140.0,GPT-4,58,954,1012,Conversation log
7917667.0,GPT-4,23,790,813,Conversation log
10182762.0,GPT-4,38,808,846,Conversation log
5397793.0,GPT-4,14,775,789,API log
8124247.0,GPT-4,92,824,916,Conversation log
6000412.0,GPT-4,110,766,876,Conversation log
7301628.0,GPT-4,152,780,932,API log
6002452.0,GPT-4,34,807,841,Conversation log
6986879.0,GPT-4,84,816,900,Conversation log
5606174.0,GPT-4,73,876,949,Conversation log
6254576.0,GPT-4,47,926,973,Conversation log
9325041.0,GPT-4,85,905,990,Conversation log
9759252.0,GPT-4,57,895,952,Conversation log
9860816.0,GPT-4,176,823,999,API log
9733031.0,GPT-4,48,885,933,Conversation log
9714449.0,GPT-4,82,883,965,Conversation log
6088425.0,GPT-4,30,790,820,Conversation log
7428080.0,GPT-4,214,794,1008,Conversation log
6013249.0,GPT-4,55,893,948,Conversation log
9838483.0,GPT-4,47,820,867,Conversation log
